Image #, Neuron #, Time Event,Censored,Constructs,Experiment
B9,,156,0,30iALS,LINCS06282017
B9,,48,1,30iALS,LINCS06282017
B9,,156,0,30iALS,LINCS06282017
B9,,48,1,30iALS,LINCS06282017
B9,,156,0,30iALS,LINCS06282017
B9,,48,1,30iALS,LINCS06282017
B9,,156,0,30iALS,LINCS06282017
B9,,156,0,30iALS,LINCS06282017
B9,,156,0,30iALS,LINCS06282017
B9,,96,1,30iALS,LINCS06282017
B9,,156,0,30iALS,LINCS06282017
B9,,156,0,30iALS,LINCS06282017
B10,,156,0,30iALS,LINCS06282017
B10,,156,0,30iALS,LINCS06282017
B10,,156,0,52iALS,LINCS06282017
B10,,156,0,52iALS,LINCS06282017
B10,,156,0,52iALS,LINCS06282017
B10,,156,0,52iALS,LINCS06282017
B10,,108,1,52iALS,LINCS06282017
B10,,156,0,52iALS,LINCS06282017
B10,,156,0,52iALS,LINCS06282017
B10,,84,1,52iALS,LINCS06282017
B10,,156,0,52iALS,LINCS06282017
B10,,156,0,52iALS,LINCS06282017
B10,,156,0,52iALS,LINCS06282017
B10,,156,0,52iALS,LINCS06282017
B10,,156,0,52iALS,LINCS06282017
B10,,156,0,52iALS,LINCS06282017
B10,,36,1,52iALS,LINCS06282017
B10,,156,0,52iALS,LINCS06282017
B10,,156,0,52iALS,LINCS06282017
B10,,12,1,52iALS,LINCS06282017
B10,,24,1,28iALS,LINCS06282017
B10,,120,1,28iALS,LINCS06282017
B10,,156,0,28iALS,LINCS06282017
B10,,144,1,28iALS,LINCS06282017
B10,,156,0,28iALS,LINCS06282017
B10,,156,0,28iALS,LINCS06282017
B10,,24,1,28iALS,LINCS06282017
B10,,132,1,28iALS,LINCS06282017
B10,,156,0,28iALS,LINCS06282017
B11,,36,1,28iALS,LINCS06282017
B11,,156,0,28iALS,LINCS06282017
B11,,12,1,28iALS,LINCS06282017
B11,,24,1,28iALS,LINCS06282017
B11,,156,0,28iALS,LINCS06282017
B11,,24,1,28iALS,LINCS06282017
B11,,156,0,28iALS,LINCS06282017
B11,,156,0,28iALS,LINCS06282017
B11,,156,0,28iALS,LINCS06282017
B11,,24,1,28iALS,LINCS06282017
B11,,156,0,28iALS,LINCS06282017
B11,,132,1,28iALS,LINCS06282017
B11,,12,1,28iALS,LINCS06282017
B11,,156,0,28iALS,LINCS06282017
B11,,156,0,28iALS,LINCS06282017
B11,,156,0,28iALS,LINCS06282017
B11,,156,0,30iALS,LINCS06282017
B11,,156,0,30iALS,LINCS06282017
B12,,156,0,30iALS,LINCS06282017
B12,,156,0,30iALS,LINCS06282017
B12,,156,0,30iALS,LINCS06282017
B12,,156,0,30iALS,LINCS06282017
B12,,156,0,30iALS,LINCS06282017
B12,,156,0,30iALS,LINCS06282017
B12,,48,1,30iALS,LINCS06282017
B12,,156,0,30iALS,LINCS06282017
B12,,156,0,30iALS,LINCS06282017
B12,,156,0,30iALS,LINCS06282017
B12,,156,0,30iALS,LINCS06282017
B12,,60,1,30iALS,LINCS06282017
B12,,156,0,30iALS,LINCS06282017
B12,,156,0,30iALS,LINCS06282017
B12,,156,0,30iALS,LINCS06282017
B12,,156,0,30iALS,LINCS06282017
B12,,156,0,30iALS,LINCS06282017
B12,,156,0,30iALS,LINCS06282017
B12,,156,0,30iALS,LINCS06282017
B12,,156,0,30iALS,LINCS06282017
B12,,156,0,30iALS,LINCS06282017
B12,,156,0,30iALS,LINCS06282017
B12,,60,1,30iALS,LINCS06282017
B12,,108,1,30iALS,LINCS06282017
B12,,12,1,30iALS,LINCS06282017
B12,,156,0,30iALS,LINCS06282017
G12,,156,0,30iALS,LINCS06282017
G12,,156,0,30iALS,LINCS06282017
G12,,156,0,30iALS,LINCS06282017
G12,,156,0,30iALS,LINCS06282017
G12,,12,1,30iALS,LINCS06282017
G12,,132,1,30iALS,LINCS06282017
G12,,24,1,30iALS,LINCS06282017
G12,,156,0,30iALS,LINCS06282017
G12,,156,0,30iALS,LINCS06282017
G12,,156,0,30iALS,LINCS06282017
G12,,156,0,30iALS,LINCS06282017
G12,,156,0,30iALS,LINCS06282017
G12,,156,0,30iALS,LINCS06282017
G12,,156,0,30iALS,LINCS06282017
G12,,156,0,30iALS,LINCS06282017
G12,,156,0,30iALS,LINCS06282017
G12,,156,0,30iALS,LINCS06282017
G12,,156,0,30iALS,LINCS06282017
G12,,156,0,30iALS,LINCS06282017
G12,,156,0,30iALS,LINCS06282017
